OBJECTID,SERVICE_DIST,SHAPEAREA,SHAPELEN,SERVICE_DIST_clean,Neighborhood,Total_Trees_Planted,Total_Grass_Planted__Hectares_,Total_Cool_Paving__Hectacres_,Total_New_Cool_Roofs,Neighborhood_clean,Total_Trees_Planted_norm,Total_Grass_Planted__Hectares__norm,Total_Cool_Paving__Hectacres__norm,Total_New_Cool_Roofs_norm,cooling_index,Foreclosure_Count,Geo_Match_Name
1,IN,1844179639.45817,486828.21716228104,in,Buechel,4036,26,129,235,buechel,0.029664909998309483,0.01783264746227709,0.023428986560116237,0.029026679841897232,0.02498830596565001,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Butchertown,3606,13,106,291,butchertown,0.026504376970739343,0.008916323731138546,0.01925172539048311,0.035943675889328064,0.022654025495422267,3.0,in
1,IN,1844179639.45817,486828.21716228104,in,California,5298,14,121,462,california,0.038940706930387425,0.009602194787379973,0.021976026153287323,0.057065217391304345,0.031896036315589765,115.0,in
1,IN,1844179639.45817,486828.21716228104,in,Cambridge,23,0,1,0,cambridge,0.00016905176659096088,0.0,0.00018162005085361425,0.0,8.766795436114378e-05,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Camp Taylor,577,4,20,29,camp taylor,0.004240994318390627,0.0027434842249657062,0.003632401017072285,0.00358201581027668,0.0035497238426763244,3.0,in
1,IN,1844179639.45817,486828.21716228104,in,Central Business District,7925,5,139,771,central business district,0.058249358705798476,0.003429355281207133,0.025245187068652378,0.09523221343873518,0.04553902862359829,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Cherokee Gardens,145,2,8,0,cherokee gardens,0.0010657611372038838,0.0013717421124828531,0.001452960406828914,0.0,0.0009726159141289128,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Cherokee Seneca,939,8,34,16,cherokee seneca,0.006901722122996185,0.0054869684499314125,0.006175081729022884,0.001976284584980237,0.00513501422173268,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Cherokee Triangle,3015,9,64,75,cherokee triangle,0.02216048157703248,0.006172839506172839,0.011623683254631312,0.009263833992094862,0.012305209582482874,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Chickasaw,2391,17,77,64,chickasaw,0.017574033648651628,0.011659807956104253,0.013984743915728296,0.007905138339920948,0.01278093096510128,59.0,in
1,IN,1844179639.45817,486828.21716228104,in,Clifton,1811,6,38,104,clifton,0.013310989099836093,0.00411522633744856,0.006901561932437341,0.012845849802371542,0.009293406793023385,3.0,in
1,IN,1844179639.45817,486828.21716228104,in,Clifton Heights,1465,8,48,63,clifton heights,0.010767862524163377,0.0054869684499314125,0.008717762440973484,0.007781620553359684,0.008188553492106988,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Cloverleaf,1674,10,41,40,cloverleaf,0.012304028577098631,0.006858710562414266,0.007446422084998184,0.004940711462450593,0.007887468171740419,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Coldstream,53,1,2,0,coldstream,0.0003895540708400403,0.0006858710562414266,0.0003632401017072285,0.0,0.00035966630719717386,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Creekside,34,1,1,2,creekside,0.00024990261148228997,0.0006858710562414266,0.00018162005085361425,0.00024703557312252963,0.0003411073229249651,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Crescent Hil,4053,24,122,146,crescent hil,0.029789861304050626,0.01646090534979424,0.022157646204140936,0.018033596837944664,0.021610502423982617,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Crossgate,65,1,7,15,crossgate,0.000477754992539672,0.0006858710562414266,0.0012713403559752997,0.0018527667984189723,0.0010719333007938427,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Deer Park,1898,6,29,48,deer park,0.013950445782158424,0.00411522633744856,0.005266981474754813,0.005928853754940711,0.0073153768373256265,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Douglass Hills,4227,30,131,103,douglass hills,0.031068774668695287,0.0205761316872428,0.023792226661823464,0.012722332015810276,0.022039866258392958,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Edgewood,2203,16,81,107,edgewood,0.016192219208690732,0.010973936899862825,0.014711224119142753,0.013216403162055336,0.013773445847437912,1.0,in
1,IN,1844179639.45817,486828.21716228104,in,Fairdale,3555,57,153,204,fairdale,0.02612952305351591,0.03909465020576132,0.02778786778060298,0.025197628458498024,0.02955241737459456,2.0,in
1,IN,1844179639.45817,486828.21716228104,in,Fairgrounds,6586,15,154,437,fairgrounds,0.04840760585948123,0.0102880658436214,0.027969487831456592,0.05397727272727273,0.03516060806545799,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Fern Creek,4831,51,182,142,fern creek,0.03550822106091009,0.03497942386831276,0.033054849255357795,0.017539525691699604,0.03027050496907006,1.0,in
1,IN,1844179639.45817,486828.21716228104,in,Fincastle,184,3,8,3,fincastle,0.001352414132727687,0.00205761316872428,0.001452960406828914,0.00037055335968379444,0.0013083852669911688,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Forest Hills,2541,4,39,101,forest hills,0.018676545169897026,0.0027434842249657062,0.007083181983290956,0.012475296442687748,0.010244626955210358,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Germantown,2202,8,42,70,germantown,0.01618486913188243,0.0054869684499314125,0.007628042135851798,0.008646245059288538,0.009486531194238545,10.0,in
1,IN,1844179639.45817,486828.21716228104,in,Glenview,550,4,26,3,glenview,0.004042542244566455,0.0027434842249657062,0.00472212132219397,0.00037055335968379444,0.0029696752878524816,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Glenview Hills,130,1,6,0,glenview hills,0.000955509985079344,0.0006858710562414266,0.0010897203051216855,0.0,0.000682775336610614,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Glenview Manor,645,3,14,18,glenview manor,0.004740799541355208,0.00205761316872428,0.0025426807119505995,0.002223320158102767,0.0028911033950332135,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Goose Creek,105,1,5,0,goose creek,0.0007717580648717779,0.0006858710562414266,0.0009081002542680712,0.0,0.0005914323438453189,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Graymoor-Devondale,2067,14,58,70,graymoor-devondale,0.01519260876276157,0.009602194787379973,0.010533962949509626,0.008646245059288538,0.010993752889734927,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Green Spring,200,2,9,0,green spring,0.0014700153616605293,0.0013717421124828531,0.0016345804576825282,0.0,0.0011190844829564776,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Hawthorne,956,9,45,33,hawthorne,0.00702667342873733,0.006172839506172839,0.00817290228841264,0.004076086956521739,0.006362125544961138,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Hayfield Dundee,1436,8,45,35,hayfield dundee,0.010554710296722601,0.0054869684499314125,0.00817290228841264,0.004323122529644269,0.00713442589117773,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Hazelwood,1857,10,42,59,hazelwood,0.013649092633018015,0.006858710562414266,0.007628042135851798,0.007287549407114625,0.008855848684599675,7.0,in
1,IN,1844179639.45817,486828.21716228104,in,Heritage Creek,316,3,11,1,heritage creek,0.0023226242714236363,0.00205761316872428,0.0019978205593897567,0.00012351778656126481,0.0016253939465247346,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Hickory Hill,9,0,0,0,hickory hill,6.615069127472382e-05,0.0,0.0,0.0,1.6537672818680955e-05,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Highland Park,1073,6,47,87,highland park,0.00788663241530874,0.00411522633744856,0.008536142390119869,0.01074604743083004,0.007821012143426802,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Higlands ,1031,3,16,22,higlands,0.007577929189360029,0.00205761316872428,0.002905920813657828,0.002717391304347826,0.0038147136190224908,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Highlands Douglas,2208,6,38,47,highlands douglas,0.016228969592732245,0.00411522633744856,0.006901561932437341,0.005805335968379447,0.008262773457749398,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Highview,6702,87,285,307,highview,0.04926021476924434,0.059670781893004114,0.051761714493280056,0.037919960474308304,0.0496531679074592,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Hikes Point,3545,14,78,97,hikes point,0.026056022285432884,0.009602194787379973,0.014166363966581911,0.011981225296442688,0.015451451583959365,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Hills And Dales ,60,1,3,0,hills and dales,0.0004410046084981588,0.0006858710562414266,0.0005448601525608427,0.0,0.000417933954325107,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Hollow Creek,502,7,19,9,hollow creek,0.0036897385577679288,0.004801097393689987,0.0034507809662186707,0.0011116600790513835,0.0032633192491819925,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Hollyvilla,144,3,10,9,hollyvilla,0.001058411060395581,0.00205761316872428,0.0018162005085361425,0.0011116600790513835,0.0015109712041768467,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Houston Acres,37,1,1,1,houston acres,0.00027195284190719793,0.0006858710562414266,0.00018162005085361425,0.00012351778656126481,0.0003157404338908759,0.0,in
1,IN,1844179639.45817,486828.21716228104,in,Hurstbourne,3832,18,93,66,hurstbourne,0.028165494329415744,0.012345679012345678,0.016890664729386124,0.008152173913043478,0.016388502996047754,0.0,in
